id,area,zone
Mid-RIGHT,Mid,RIGHT
Mid-LEFT,Mid,LEFT
Def-LEFT,Def,LEFT
Out,Out,
Def-RIGHT,Def,RIGHT
GK-LEFT,GK,LEFT
GK-RIGHT,GK,RIGHT
