status,gameweek,seasonId,dateutc,winner,venue,wyId,label,duration,competitionId,team1.side,team1.teamId,team1.score,team2.side,team2.teamId,team2.score
Played,35,181189,2018-04-27 18:45:00,3782,Stade de la Mosson,2501031,"Montpellier - Saint-\u00c9tienne, 0 - 1",Regular,412,home,3787,0,away,3782,1
Played,33,181189,2018-04-25 16:45:00,0,Stade Michel d'Ornano,2501007,"Caen - Toulouse, 0 - 0",Regular,412,home,3783,0,away,3780,0
Played,34,181189,2018-04-22 19:00:00,3767,Stade Matmut-Atlantique,2501017,"Bordeaux - PSG, 0 - 1",Regular,412,away,3767,1,home,3772,0
Played,34,181189,2018-04-22 15:00:00,3782,Stade Geoffroy-Guichard,2501024,"Saint-\u00c9tienne - Troyes, 2 - 1",Regular,412,home,3782,2,away,3795,1
Played,34,181189,2018-04-22 13:00:00,3775,Allianz Riviera,2501023,"Nice - Montpellier, 1 - 0",Regular,412,home,3775,1,away,3787,0
Played,34,181189,2018-04-21 18:00:00,3789,Stade de la Licorne,2501016,"Amiens SC - Strasbourg, 3 - 1",Regular,412,home,3789,3,away,3779,1
Played,34,181189,2018-04-21 18:00:00,3785,Stade du Roudourou,2501019,"Guingamp - Monaco, 3 - 1",Regular,412,home,3785,3,away,19830,1
Played,34,181189,2018-04-21 18:00:00,0,Stade Saint-Symphorien,2501021,"Metz - Caen, 1 - 1",Regular,412,away,3783,1,home,3777,1
Played,34,181189,2018-04-21 18:00:00,3780,Stadium Municipal,2501025,"Toulouse - Angers SCO, 2 - 0",Regular,412,away,3799,0,home,3780,2
Played,34,181189,2018-04-21 15:00:00,3771,Stade V\u00e9lodrome,2501020,"Olympique Marseille - Lille, 5 - 1",Regular,412,home,3771,5,away,3776,1
Played,34,181189,2018-04-20 19:00:00,3766,Stade Gaston-G\u00e9rard,2501018,"Dijon - Olympique Lyonnais, 2 - 5",Regular,412,home,3804,2,away,3766,5
Played,34,181189,2018-04-20 17:30:00,0,Stade de la Beaujoire - Louis Fonteneau,2501022,"Nantes - Rennes, 1 - 1",Regular,412,home,3770,1,away,3774,1
Played,33,181189,2018-04-15 19:00:00,3767,Parc des Princes,2501012,"PSG - Monaco, 7 - 1",Regular,412,home,3767,7,away,19830,1
Played,33,181189,2018-04-15 15:00:00,3771,Stade de l'Aube,2501015,"Troyes - Olympique Marseille, 2 - 3",Regular,412,away,3771,3,home,3795,2
Played,33,181189,2018-04-15 13:00:00,3772,Stade de la Mosson,2501010,"Montpellier - Bordeaux, 1 - 3",Regular,412,away,3772,3,home,3787,1
