currentTeamId,birthYear,role,wyId,shortName,currentNationalTeamId
684,1989,DEF,3791,Z. Feddal,-1
687,1988,DEF,3795,H. Moreno,15473
691,1989,DEF,3798,D\u00eddac Vil\u00e1,-1
692,1994,MID,167641,S. Lobotka,14496
676,1992,FWD,3802,Philippe Coutinho,6380
691,1993,MID,3803,Sergi Darder,-1
691,1986,DEF,3806,Javi L\u00f3pez,-1
691,1983,FWD,3816,Sergio Garc\u00eda,-1
692,1986,GKP,3821,Sergio \u00c1lvarez,-1
692,1995,GKP,3822,Rub\u00e9n Blanco,-1
701,1988,GKP,3823,Yoel,-1
692,1991,DEF,3827,Hugo Mallo,-1
692,1987,FWD,3840,Iago Aspas,1598
701,1986,MID,3843,F. Orellana,-1
698,1985,DEF,3856,Molinero,-1
683,1984,MID,3866,M. Iturra,-1
1610,1994,MID,69404,M. Kova\u010di\u0107,9598
3161,1992,DEF,69409,\u0160. Vrsaljko,9598
701,1989,FWD,3874,Kike Garc\u00eda,-1
698,1991,DEF,3885,L. Cabrera,-1
675,1986,GKP,3915,K. Navas,16871
692,1985,DEF,3916,G. Cabral,-1
695,1993,DEF,3919,Iv\u00e1n L\u00f3pez,-1
695,1983,DEF,3920,Pedro L\u00f3pez,-1
712,1986,MID,3934,N. El Zhar,-1
695,1991,FWD,3937,Roger,-1
712,1984,GKP,3963,Cu\u00e9llar,-1
714,1989,DEF,3970,G\u00e1lvez,-1
698,1988,DEF,3974,D. Su\u00e1rez,-1
687,1984,GKP,3994,Moy\u00e0,-1
683,1986,DEF,4003,Miguel Torres,-1
683,1984,MID,4009,M. Lacen,-1
712,1989,MID,4013,Rub\u00e9n P\u00e9rez,-1
701,1986,MID,4014,Pedro Le\u00f3n,-1
680,1992,MID,4015,Pablo Sarabia,-1
701,1990,FWD,4048,Sergi Enrich,-1
674,1992,DEF,4065,J. Murillo,-1
677,1988,DEF,4086,B\u00f3veda,-1
674,2000,MID,397303,Ferr\u00e1n Torres,1602
701,1992,DEF,4094,Ander Capa,-1
678,1987,DEF,4113,Etxeita,-1
698,1987,FWD,4131,\u00c1ngel,-1
-1,1987,DEF,4180,Lomb\u00e1n,-1
756,1989,DEF,4232,Pedro Alcal\u00e1,-1
676,1989,MID,4256,Aleix Vidal,-1
714,1990,DEF,4272,Ximo Navarro,-1
756,1990,MID,4278,Borja Garc\u00eda,-1
691,1989,DEF,4303,David L\u00f3pez,-1
684,1983,GKP,4319,Dani Gim\u00e9nez,-1
712,1985,DEF,4326,Tito,-1
682,1984,MID,4332,Javi Fuego,-1
679,1988,FWD,4338,Diego Costa,1598
698,1991,MID,4343,Dani Pacheco,-1
682,1984,GKP,4348,M. Barbosa,-1
714,1991,GKP,4350,Ra\u00fal Lizo\u00e1in,-1
714,1982,DEF,4355,David Garc\u00eda,-1
696,1989,DEF,4358,Laguardia,-1
756,1991,DEF,4360,Juanpe,-1
714,1987,MID,4361,Javi Castellano,-1
714,1982,MID,4362,Momo,-1
714,1988,MID,4363,Vicente G\u00f3mez,-1
680,1989,MID,4365,Roque Mesa,-1
714,1987,DEF,4371,Dani Castellano,-1
684,1993,FWD,364820,Loren Mor\u00f3n,-1
679,1989,MID,4375,Vitolo,-1
684,1996,DEF,364850,J. Firpo,-1
682,1996,MID,364860,Rodri,1604
696,1996,DEF,364870,Adri\u00e1n Di\u00e9guez,-1
692,1994,DEF,4424,Jonny,-1
677,1992,FWD,4440,Borja Valle,-1
678,1988,GKP,4476,Iago Herrer\u00edn,-1
679,1994,MID,4488,Sa\u00fal,1598
675,1991,FWD,4498,Lucas V\u00e1zquez,1598
675,1992,DEF,4501,Daniel Carvajal,1598
677,1988,MID,4511,Pedro Mosquera,-1
674,1990,MID,4513,D. Cheryshev,14358
674,1986,DEF,70112,E. Garay,-1
684,1987,MID,70120,Javi Garc\u00eda,-1
680,1986,FWD,70125,Nolito,-1
-1,1979,MID,4593,Sergio Mora,-1
680,1988,DEF,70140,Daniel Carri\u00e7o,-1
712,1988,MID,4683,A. Szymanowski,-1
679,1993,GKP,70273,J. Oblak,12046
756,1994,FWD,266885,M. Olunga,18402
701,1993,DEF,4780,David Junc\u00e0,-1
756,1991,DEF,4789,Carles Planas,-1
701,1987,DEF,4805,Arbilla,-1
677,1992,MID,4879,Carles Gil,-1
674,1995,DEF,4892,Jos\u00e9 Gay\u00e1,-1
692,1991,MID,4911,Jozabed,-1
677,1985,DEF,70451,Luisinho,-1
714,1989,DEF,4936,David Sim\u00f3n,-1
714,1990,MID,4969,Tana,-1
701,1991,DEF,70507,Paulo Oliveira,-1
682,1994,FWD,267134,R. Mart\u00ednez,-1
679,1983,MID,3441,Gabi,-1
682,1986,FWD,37831,C. Bacca,12430
683,1992,MID,37836,M. Lestienne,-1
756,1993,FWD,5147,Choco Lozano,-1
714,1996,MID,234527,A. Halilovi\u0107,-1
712,1993,DEF,169002,Diego Rico,-1
-1,1988,MID,5195,Omar Ramos,-1
684,1989,FWD,5268,Sergio Le\u00f3n,-1
678,1984,MID,5290,Mikel Rico,-1
714,1993,FWD,38094,I. Ezekiel,-1
695,1989,DEF,5383,To\u00f1o,-1
691,1992,FWD,5400,Gerard Moreno,-1
682,1994,DEF,70956,R\u00faben Semedo,-1
683,1989,DEF,5472,Luis Hern\u00e1ndez,-1
701,1990,MID,5542,Dani Garc\u00eda,-1
712,1984,DEF,5653,M. Mantovani,-1
696,1988,FWD,38436,C. Santos,-1
698,1990,DEF,5677,Bruno,-1
756,1998,MID,443324,Douglas Luiz,-1
683,1994,MID,5791,Juanpi,15757
714,1995,MID,5907,Sergi Samper,-1
680,1995,FWD,5911,Sandro,-1
756,1998,MID,366374,K. Soni,16779
701,1995,MID,279555,Iv\u00e1n Alejo,-1
677,1993,FWD,6165,F. Andone,11944
756,1987,DEF,6210,Aday,-1
712,1992,DEF,6281,Zald\u00faa,-1
712,1989,GKP,6363,Serantes,-1
712,1992,DEF,6365,Bustinza,-1
712,1990,MID,6370,Eraso,-1
683,1995,MID,399673,E. Rol\u00f3n,-1
682,1996,MID,399676,Pablo Fornals,1604
712,1989,DEF,6513,Ra\u00fal Garc\u00eda,-1
-1,1995,GKP,6577,Pedro L\u00f3pez,-1
695,1992,FWD,6914,\u00c1lex Alegr\u00eda,-1
692,1986,MID,269060,P. Hern\u00e1ndez,12381
696,1991,DEF,6925,H\u00e9ctor,-1
692,1996,FWD,334817,L. Boy\u00e9,-1
