id,area,zone
Mid-LEFT,Mid,LEFT
Mid-RIGHT,Mid,RIGHT
Def-LEFT,Def,LEFT
Def-RIGHT,Def,RIGHT
GK-LEFT,GK,LEFT
GK-RIGHT,GK,RIGHT
Out,Out,
