id,type,zone
Ma-Dz,Midfield,Defend_Zone
Ma-Az,Midfield,Attack_Zone
Da-Dz,Defense_Area,Defend_Zone
Ga-Dz,Goalkeeper_Area,Defend_Zone
Da-Az,Defense_Area,Attack_Zone
Ga-Az,Goalkeeper_Area,Attack_Zone
