id,area,zone
Mid-LEFT,Mid,LEFT
Mid-RIGHT,Mid,RIGHT
Def-LEFT,Def,LEFT
GK-LEFT,GK,LEFT
Def-RIGHT,Def,RIGHT
Out,Out,
GK-RIGHT,GK,RIGHT
