currentTeamId,birthYear,role,wyId,shortName,currentNationalTeamId
2447,1990,FWD,14789,A. Sch\u00fcrrle,-1
2444,1988,DEF,14795,M. Hummels,3148
2447,1985,DEF,14798,\u0141. Piszczek,13869
2451,1985,MID,14804,J. B\u0142aszczykowski,13869
2447,1992,MID,14806,M. G\u00f6tze,-1
3161,1989,MID,14812,I. Peri\u0161i\u0107,9598
2444,1988,FWD,14817,R. Lewandowski,13869
3159,1988,DEF,14855,B. H\u00f6wedes,-1
3767,1993,MID,14862,J. Draxler,3148
3157,1992,DEF,14922,R. Rodr\u00edguez,6697
12510,1986,MID,14940,Vieirinha,-1
3159,1986,FWD,14943,M. Mand\u017euki\u0107,9598
4487,1984,DEF,7960,M. \u0160krtel,14496
4487,1988,DEF,15022,R. Neust\u00e4dter,-1
4488,1987,MID,15076,O. \u015eahan,-1
12510,1991,FWD,15142,R. Mak,14496
2446,1988,MID,15188,J. Baumgartlinger,9109
2451,1992,MID,15191,Y. Mall\u0131,4687
2482,1987,FWD,15200,\u00c1. Szalai,-1
676,1993,MID,211885,Andr\u00e9 Gomes,-1
13559,1985,MID,15282,S. Peszko,13869
13898,1991,MID,15285,O. Roshi,-1
-1,1986,DEF,15449,M. Mavraj,-1
3157,1994,MID,15524,H. \u00c7alhano\u011flu,-1
12444,1987,GKP,57226,H. Halld\u00f3rsson,7839
2446,1995,DEF,212604,T. Jedvaj,9598
-1,1984,GKP,16126,R. Almer,-1
-1,1979,DEF,101583,S. Ignashevich,14358
3159,1994,MID,246061,F. Bernardeschi,-1
4492,1995,DEF,278872,J. Denayer,-1
3166,1992,FWD,82266,L. Krej\u010d\u00ed,-1
2443,1986,DEF,82340,T. Gebre Selassie,11555
2482,1992,DEF,82487,P. Kade\u0159\u00e1bek,11555
2457,1990,MID,82518,V. Darida,11555
2454,1988,GKP,49855,Y. Sommer,6697
3197,1993,DEF,49857,A. Ajeti,8731
6407,1989,MID,49869,F. Frei,-1
1612,1991,MID,49872,X. Shaqiri,6697
1609,1992,MID,49876,G. Xhaka,6697
2454,1991,DEF,49977,M. Lang,6697
2453,1990,MID,49982,A. Abrashi,-1
1613,1991,DEF,50102,F. Sch\u00e4r,6697
6421,1984,MID,50264,B. Kukeli,-1
6421,1989,DEF,50318,E. Lenjani,8731
695,1991,FWD,50461,A. Sadiku,8731
3770,1986,GKP,83574,C. T\u0103t\u0103ru\u0219anu,11944
3187,1989,DEF,83575,V. Chiriche\u0219,11944
3780,1989,MID,50812,J. Durmaz,7047
3172,1989,GKP,50849,E. Berisha,8731
14072,1988,MID,101596,P. Mamaev,-1
2975,1991,MID,51132,E. Forsberg,7047
2463,1990,DEF,18669,J. Hector,3148
692,1997,FWD,281255,E. Mor,-1
-1,1981,MID,101568,R. Shirokov,-1
-1,1982,DEF,101580,A. Berezutski,-1
13886,1991,DEF,101585,G. Shchennikov,-1
4489,1983,DEF,3305,Pepe,9905
676,1987,DEF,3341,Piqu\u00e9,1598
13888,1987,DEF,101663,D. Kombarov,-1
3159,1992,DEF,20395,M. De Sciglio,3757
3158,1992,FWD,20418,S. El Shaarawy,-1
3158,1983,MID,20438,D. De Rossi,-1
3159,1978,GKP,20455,G. Buffon,-1
3159,1981,DEF,20458,A. Barzagli,-1
3157,1987,DEF,20459,L. Bonucci,3757
3159,1984,DEF,20461,G. Chiellini,-1
1609,1984,DEF,20465,S. Lichtsteiner,6697
3165,1985,MID,20468,E. Giaccherini,-1
9606,1991,MID,20496,Danilo Pereira,-1
-1,1983,DEF,20555,L. Cana,-1
3161,1987,MID,20556,A. Candreva,-1
675,1992,GKP,3429,T. Courtois,5629
2462,1986,MID,20591,G. Fernandes,6697
3161,1986,FWD,20626,Eder,-1
9607,1992,FWD,20766,H. Seferovi\u0107,6697
3164,1989,MID,20876,A. Ekdal,7047
3158,1988,MID,20879,R. Nainggolan,-1
3163,1985,MID,20938,V. Behrami,6697
3187,1994,DEF,21001,E. Hysaj,8731
19830,1988,DEF,21097,K. Glik,13869
3166,1986,MID,21169,B. D\u017eemaili,6697
3187,1987,MID,21171,M. Ham\u0161\u00edk,14496
3159,1993,MID,21290,S. Sturaro,-1
14072,1990,MID,101856,O. Shatov,-1
3254,1984,MID,21314,E. Hallfre\u00f0sson,7839
3162,1985,MID,21350,M. Parolo,-1
3162,1990,FWD,21384,C. Immobile,3757
3187,1991,FWD,21385,L. Insigne,3757
3187,1995,MID,284315,M. Rog,-1
674,1991,FWD,22202,S. Zaza,3757
2457,1994,MID,218896,O. Duda,14496
3219,1986,MID,22323,L. Memushaj,8731
-1,1979,MID,14729,A. Tymoshchuk,-1
16926,1986,FWD,14908,M. Berg,7047
13897,1993,DEF,57347,S. Ingason,7839
6709,1993,MID,57480,A. Traustason,7839
12508,1993,MID,93608,E. Ka\u00e7e,-1
9607,1993,MID,222676,Rafa Silva,-1
1624,1986,GKP,25381,H. Lloris,4418
676,1993,DEF,25397,S. Umtiti,4418
-1,1982,MID,25408,K. K\u00e4llstr\u00f6m,-1
3185,1987,GKP,25421,S. Sirigu,3757
3159,1987,MID,25437,B. Matuidi,4418
-1,1982,MID,25439,T. Motta,-1
2449,1997,FWD,282772,B. Embolo,6697
1610,1989,DEF,25553,Azpilicueta,1598
3772,1982,MID,25596,J. Pla\u0161il,-1
3771,1987,MID,25714,D. Payet,-1
1610,1986,FWD,26010,O. Giroud,4418
6407,1991,MID,49981,T. Xhaka,8731
4487,1995,MID,223071,O. Tufan,4687
3161,1992,MID,69968,M. Brozovi\u0107,9598
12537,1986,MID,93339,A. Lila,8731
2444,1995,DEF,224593,J. Kimmich,3148
19830,1996,MID,257800,A. Golovin,14358
2447,1993,DEF,28907,Rapha\u00ebl Guerreiro,9905
4488,1987,MID,21285,J. Kucka,14496
4507,1990,FWD,64067,S. Cikalleshi,-1
13898,1991,FWD,64078,B. Balaj,-1
4488,1985,FWD,32572,B. Y\u0131lmaz,-1
8736,1986,DEF,64972,F. Klein,-1
2975,1989,MID,65027,S. Ilsanker,-1
2481,1992,DEF,65075,M. Hinteregger,-1
8742,1989,MID,65084,J. Jantscher,-1
-1,1985,DEF,65090,D. \u0160vento,-1
4489,1988,DEF,32523,C. Erkin,-1
4489,1985,DEF,32524,G. G\u00f6n\u00fcl,-1
-1,1987,MID,32566,V. \u015een,-1
4487,1989,DEF,32580,\u0130. K\u00f6yba\u015f\u0131,4687
4489,1983,FWD,32597,Ricardo Quaresma,9905
-1,1983,DEF,32642,H. Balta,-1
4492,1985,MID,32656,S. \u0130nan,4687
9141,1987,DEF,75209,R. Guzmics,10451
1615,1990,FWD,62235,J. Magennis,10962
-1,1978,FWD,92982,E. Gu\u00f0johnsen,-1
1610,1992,FWD,3324,\u00c1lvaro Morata,1598
1632,1986,MID,101666,A. McGeady,8274
1638,1991,MID,7979,S. Ferguson,10962
3178,1992,DEF,134954,F. Veseli,8731
1636,1992,FWD,234710,C. Washington,10962
1624,1993,DEF,136441,B. Davies,10682
1631,1993,GKP,136509,D. Ward,10682
1620,1995,DEF,136704,P. McNair,10962
11630,1991,FWD,38598,D. Alibec,11944
3179,1992,DEF,104937,N. Gy\u00f6mb\u00e9r,14496
14504,1984,GKP,105320,A. Pyatov,14622
-1,1981,DEF,105330,R. Ra\u021b,-1
14504,1989,MID,105341,T. Stepanenko,14622
14504,1991,DEF,105716,B. Butko,14622
1609,1990,MID,7870,A. Ramsey,10682
-1,1980,MID,7871,T. Rosick\u00fd,-1
1631,1988,DEF,7914,J. Evans,10962
-1,1981,DEF,7915,P. Evra,-1
14503,1990,DEF,7980,T. K\u00e1d\u00e1r,10451
1613,1989,DEF,8004,C. Clark,8274
-1,1983,DEF,8005,J. Collins,-1
1627,1982,MID,8346,W. Hoolahan,8274
8509,1979,DEF,8362,G. McAuley,10962
-1,1979,MID,8372,Z. Gera,-1
1619,1987,FWD,8384,S. Long,8274
1628,1987,GKP,8425,W. Hennessey,10682
1646,1985,DEF,8433,S. Ward,8274
1631,1988,MID,8498,A. King,10682
1637,1981,DEF,8522,J. O'Shea,8274
1639,1989,MID,8530,J. McClean,8274
1642,1983,FWD,8603,D. Murphy,8274
-1,1988,FWD,8688,S. Church,-1
1614,1984,MID,8744,G. Whelan,8274
1636,1991,MID,8773,O. Norwood,10962
1638,1991,DEF,8797,C. McLaughlin,10962
1637,1989,DEF,8831,C. Gunter,10682
1646,1992,MID,8980,J. Hendrick,8274
1646,1989,FWD,9127,S. Vokes,10682
3793,1994,DEF,75014,B. Bese,10451
10183,1986,FWD,75137,D. B\u00f6de,10451
1614,1989,DEF,9615,J. Chester,10682
1621,1990,MID,9620,C. Evans,10962
-1,1981,MID,105371,R. Rotan,-1
10183,1988,MID,75292,G. Lovrencsics,10451
1637,1992,FWD,58105,J. B\u00f6\u00f0varsson,7839
14503,1991,MID,105503,S. Sydorchuk,14622
10984,1988,MID,33082,\u00c1. Elek,10451
-1,1982,DEF,11131,C. Baird,-1
10529,1989,MID,77521,A. Gunnarsson,7839
1639,1984,DEF,77546,A. Williams,10682
1639,1990,MID,77548,J. Allen,10682
1625,1996,MID,241564,O. Zinchenko,14622
4494,1982,DEF,62221,K. \u00c1rnason,7839
1626,1984,GKP,62331,M. McGovern,10962
11255,1992,MID,144713,P. Hro\u0161ovsk\u00fd,14496
1644,1987,DEF,14688,S. Pr\u00f6dl,9109
1633,1989,FWD,14703,M. Arnautovi\u0107,9109
7852,1988,MID,15196,Z. Stieber,10451
1625,1996,MID,245364,L. San\u00e9,3148
16444,1989,FWD,3813,V. Weiss,14496
34760,1985,FWD,16435,A. Nemec,14496
7452,1991,MID,82230,J. Gregu\u0161,14496
11241,1990,FWD,82359,J. \u0160ural,11555
10693,1988,FWD,82528,M. \u010euri\u0161,14496
2446,1991,DEF,49859,A. Dragovi\u0107,9109
-1,1981,FWD,82684,D. Lafata,-1
14504,1989,DEF,105329,Y. Rakitskiy,14622
-1,1979,DEF,105331,V. Shevchuk,-1
11242,1986,FWD,83082,M. \u0160koda,11555
1651,1992,DEF,8242,S. Duffy,8274
-1,1980,MID,83752,L. S\u00e2nm\u0103rtean,-1
11241,1993,MID,83753,N. Stanciu,11944
5078,1987,DEF,51127,A. Sk\u00falason,7839
11611,1982,MID,83953,O. Hoban,11944
3159,1994,MID,18550,E. Can,3148
9311,1986,DEF,84536,D. Grigore,11944
12520,1987,MID,21104,M. Basha,8731
1630,1991,MID,80019,S. Dallas,10962
13271,1988,DEF,74968,M. Korhut,10451
