id,area,zone
Mid-RIGHT,Mid,RIGHT
Mid-LEFT,Mid,LEFT
Def-RIGHT,Def,RIGHT
Def-LEFT,Def,LEFT
Out,Out,
GK-LEFT,GK,LEFT
GK-RIGHT,GK,RIGHT
