id,area,zone
Mid-RIGHT,Mid,RIGHT
Mid-LEFT,Mid,LEFT
Def-RIGHT,Def,RIGHT
Out,Out,
Def-LEFT,Def,LEFT
GK-LEFT,GK,LEFT
GK-RIGHT,GK,RIGHT
