currentTeamId,birthYear,role,wyId,shortName,currentNationalTeamId
2450,1986,MID,14706,A. Hunt,-1
2463,1978,FWD,14707,C. Pizarro,-1
2444,1986,GKP,14712,M. Neuer,3148
2445,1989,DEF,14715,H. Badstuber,-1
2444,1988,DEF,14716,J. Boateng,3148
2444,1985,DEF,14718,Rafinha,-1
2444,1992,DEF,14724,D. Alaba,-1
2444,1983,MID,14726,F. Rib\u00e9ry,-1
2444,1984,MID,14727,A. Robben,-1
2445,1985,FWD,14731,M. G\u00f3mez,3148
2444,1989,FWD,14732,T. M\u00fcller,3148
2453,1988,FWD,14734,N. Petersen,-1
2444,1988,GKP,14736,S. Ulreich,-1
2450,1991,DEF,14749,G. Sakai,12913
2445,1985,MID,14754,C. Gentner,-1
2454,1988,MID,14758,I. Traor\u00e9,-1
2455,1987,FWD,14760,M. Harnik,-1
2457,1984,FWD,14762,V. Ibi\u0161evi\u0107,10001
2457,1989,FWD,14764,J. Schieber,-1
2460,1985,GKP,14766,R. Adler,-1
2446,1992,GKP,14768,B. Leno,-1
2447,1987,MID,14770,G. Castro,-1
2462,1993,DEF,14772,D. da Costa,-1
2449,1989,DEF,14775,B. Oczipka,-1
2447,1989,DEF,14778,\u00d6. Toprak,-1
2446,1989,MID,14781,L. Bender,-1
2446,1990,MID,14786,K. Bellarabi,-1
-1,1984,FWD,14788,S. Kie\u00dfling,-1
2447,1990,FWD,14789,A. Sch\u00fcrrle,-1
-1,1980,GKP,14794,R. Weidenfeller,-1
2444,1988,DEF,14795,M. Hummels,3148
2447,1985,DEF,14798,\u0141. Piszczek,13869
3782,1988,DEF,14801,N. Suboti\u0107,-1
2455,1989,MID,14802,M. Bakalorz,-1
2446,1989,DEF,14803,S. Bender,-1
2451,1985,MID,14804,J. B\u0142aszczykowski,13869
2447,1992,MID,14806,M. G\u00f6tze,-1
2447,1989,MID,14816,S. Kagawa,12913
2444,1988,FWD,14817,R. Lewandowski,13869
2455,1987,GKP,14821,M. Esser,-1
2481,1987,GKP,14822,A. Luthe,-1
2454,1991,MID,14838,C. Kramer,-1
2482,1991,DEF,14842,K. Vogt,-1
2445,1991,FWD,14845,D. Ginczek,-1
2449,1988,GKP,14847,R. F\u00e4hrmann,-1
2450,1992,DEF,14857,K. Papadopoulos,12678
2463,1989,MID,14863,M. H\u00f6ger,-1
2450,1990,MID,14864,L. Holtby,-1
2445,1987,DEF,14885,D. Aogo,-1
2451,1991,DEF,14887,J. Bruma,-1
-1,1989,DEF,14888,D. Diekmeier,-1
-1,1987,MID,14900,G. Ka\u010dar,-1
2457,1987,MID,14905,P. Skjelbred,-1
2481,1987,GKP,14914,M. Hitz,-1
2451,1992,DEF,14917,R. Knoche,-1
2462,1985,DEF,14923,M. Russ,-1
2462,1984,MID,14929,M. Hasebe,12913
2451,1994,MID,14938,M. Arnold,-1
2482,1990,GKP,14979,O. Baumann,-1
2455,1990,DEF,14988,O. Sorg,-1
2449,1988,MID,14989,D. Caligiuri,-1
2454,1994,DEF,14991,M. Ginter,3148
2453,1985,FWD,14992,K. Gu\u00e9d\u00e9,-1
2481,1990,MID,14997,J. Schmid,-1
-1,1985,MID,14998,J. Schuster,-1
2482,1990,MID,15012,H. Nordtveit,7336
2454,1985,DEF,15014,O. Wendt,-1
2445,1992,MID,15015,M. Zimmermann,-1
2454,1990,DEF,15019,T. Jantschke,-1
2457,1991,FWD,15020,M. Leckie,8493
2447,1989,FWD,15024,M. Reus,3148
2445,1989,GKP,15032,R. Zieler,-1
13889,1990,DEF,15039,K. Rausch,-1
2455,1988,MID,15050,M. Schmiedebach,-1
2454,1988,FWD,15051,L. Stindl,-1
2454,1988,GKP,15061,T. Sippel,-1
2975,1992,DEF,15069,W. Orban,-1
2444,1987,FWD,15085,S. Wagner,-1
2457,1988,GKP,15090,T. Kraft,-1
2481,1985,DEF,15095,C. Janker,-1
2457,1988,DEF,15103,F. Lustenberger,-1
2454,1985,FWD,15107,Raffael,-1
-1,1987,DEF,15122,D. Maroh,-1
2457,1992,DEF,15125,M. Plattenhardt,3148
2451,1990,MID,15129,D. Didavi,-1
2453,1986,MID,15131,M. Frantz,-1
2462,1990,DEF,15139,T. Chandler,-1
2457,1990,MID,15141,A. Esswein,-1
2460,1991,DEF,15178,S. Bell,-1
2446,1988,MID,15188,J. Baumgartlinger,9109
2451,1992,MID,15191,Y. Mall\u0131,4687
2450,1987,MID,15192,N. M\u00fcller,-1
-1,1986,MID,15193,E. Polanski,-1
2463,1989,MID,15194,M. Risse,-1
2482,1987,FWD,15200,\u00c1. Szalai,-1
2460,1990,FWD,15201,A. Ujah,-1
2455,1993,MID,15225,S. Maier,-1
2446,1992,FWD,15231,K. Volland,-1
2450,1992,FWD,15232,B. Wood,8134
2451,1990,DEF,15244,S. Jung,-1
2463,1983,MID,15253,M. Lehmann,-1
-1,1983,FWD,15254,A. Meier,-1
2455,1987,MID,15256,P. Schwegler,-1
2463,1993,GKP,15265,T. Horn,-1
2457,1994,MID,15276,M. Weiser,-1
2463,1991,MID,15278,C. Clemens,-1
2482,1991,FWD,15292,M. Uth,-1
