wyId,area,zone
Mid-LEFT,Mid,LEFT
Def-RIGHT,Def,RIGHT
Mid-RIGHT,Mid,RIGHT
Def-LEFT,Def,LEFT
Out,Out,
GK-LEFT,GK,LEFT
GK-RIGHT,GK,RIGHT
